LSB	PRG	MSB	NME	ELC	LVL	VXP
000	000	049	GrandPno	0	1	gs1:GrandPno
002	000	049	GrandPno	0	2	gs2:GrandPno
003	000	049	GrandPno	0	3	gs3:GrandPno
004	000	049	GrandPno	1	4	gs4:GrandPno
004	000	001	Uprt.Pno		4	gs4:Uprt.Pno
004	000	002	Mild Pno		4	gs4:Mild Pno
000	000	008	Piano 1w		1	gs1:Piano 1w
004	000	008	UprtP. w		4	gs4:UprtP. w
004	000	009	MildP. w		4	gs4:MildP. w
000	000	016	Piano 1d		1	gs1:Piano 1d
003	000	016	EuropePf		3	gs3:EuropePf
003	000	024	PianoStr		3	gs3:PianoStr
004	000	025	Pno+Str2		4	gs4:Pno+Str2
004	000	026	DreamPno		4	gs4:DreamPno
004	000	027	DreamP.2		4	gs4:DreamP.2
000	001	049	BritePno	0	1	gs1:BritePno
002	001	049	BritePno	0	2	gs2:BritePno
003	001	049	BritePno	1	3	gs3:BritePno
004	001	049	BritePno	3	4	gs4:BritePno
004	001	001	PopPiano		4	gs4:PopPiano
004	001	002	Rock Pno		4	gs4:Rock Pno
000	001	008	Piano 2w		1	gs1:Piano 2w
004	001	008	PopPno w		4	gs4:PopPno w
004	001	009	RockP. w		4	gs4:RockP. w
003	001	016	DancePno		3	gs3:DancePno
000	002	049	EGrndPno	0	1	gs1:EGrndPno
002	002	049	EGrndPno	0	2	gs2:EGrndPno
003	002	049	EGrndPno	1	3	gs3:EGrndPno
002	002	001	EGRhode1		2	gs1:EGRhode1
002	002	002	EGRhode2		2	gs1:EGRhode2
000	002	008	Piano 3w		1	gs1:Piano 3w
000	003	049	HnkyTonk	1	1	gs1:HnkyTonk
002	003	049	HnkyTonk	1	2	gs2:HnkyTonk
003	003	049	HnkyTonk	1	3	gs3:HnkyTonk
004	003	049	HnkyTonk	1	4	gs4:HnkyTonk
000	003	008	HnkyTk w		1	gs1:HnkyTk w
002	003	008	Old Uprt		2	gs2:Old Uprt
003	003	008	HnkyTnk2		3	gs3:HnkyTnk2
000	004	049	ElPiano1	0	1	gs1:ElPiano1
002	004	049	ElPiano1	1	2	gs2:ElPiano1
003	004	049	ElPiano1	0	3	gs3:ElPiano1
000	004	008	Det.EP 1		1	gs1:Det.EP 1
002	004	008	StSoftEP		2	gs2:StSoftEP
003	004	009	ChorusEP		3	gs3:ChorusEP
003	004	010	SilntRho		3	gs3:SilntRho
000	004	016	EPiano1v		1	gs1:EPiano1v
002	004	016	FM+SA EP		2	gs2:FM+SA EP
003	004	017	Dst.EPno		3	gs3:Dst.EPno
000	004	024	60sElPno		1	gs1:60sElPno
003	004	024	Wurly EP		3	gs3:Wurly EP
002	004	025	HrdRhode		2	gs2:HrdRhode
002	004	026	MelRhode		2	gs2:MelRhode
000	005	049	ElPiano2	0	1	gs1:ElPiano2
002	005	049	ElPiano2	1	2	gs2:ElPiano2
004	005	001	ElPiano3		4	gs4:ElPiano3
000	005	008	Det.EP 2		1	gs1:Det.EP 2
004	005	009	Det.EP 3		4	gs4:Det.EP 3
